cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
91983,860.0,2,4,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
92221,1336.5,1,21,Balneário Shopping,Feminino,Moda,1,1,5,7,Potencial
92809,754.5,1,28,Balneário Shopping,Feminino,Moda,1,1,4,6,Pontual
92922,593.5,2,27,Balneário Shopping,Feminino,Moda,1,4,3,8,Potencial
92958,791.5,1,6,Balneário Shopping,Feminino,Moda,4,1,4,9,Potencial
93394,817.5,1,7,Balneário Shopping,Feminino,Moda,4,1,4,9,Potencial
94339,72.21000000000001,2,16,Continente Shopping,Masculino,Lazer,2,4,1,7,Potencial
95108,1153.0,2,23,Balneário Shopping,Feminino,Moda,1,4,5,10,Premium
95934,268.0,1,9,Balneário Shopping,Feminino,Moda,3,1,2,6,Pontual
96689,878.5,2,4,Balneário Shopping,Feminino,Moda,5,4,4,13,VIP
97144,259.5,1,0,Balneário Shopping,Masculino,Moda,5,1,2,8,Potencial
97354,369.7,1,27,Balneário Shopping,Feminino,Moda,1,1,2,4,Pontual
98936,596.5,2,28,Balneário Shopping,Feminino,Moda,1,4,3,8,Potencial
99060,4.5,1,11,Continente Shopping,Feminino,Gastronomia,3,1,1,5,Pontual
100109,99.0,1,27,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
100632,299.22,4,6,Neumarkt Shopping,Feminino,Gastronomia,3,4,3,10,Premium
100740,69.47,2,7,Continente Shopping,Nao Informado,Eletrodomésticos,4,4,1,9,Potencial
101236,19.0,1,8,Continente Shopping,Feminino,Gastronomia,4,1,1,6,Pontual
101286,2062.0,3,1,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
101707,79.98,1,27,Continente Shopping,Feminino,Moda,2,1,1,4,Pontual
102063,1205.5,2,2,Balneário Shopping,Feminino,Moda,5,4,5,14,VIP
102693,589.7,1,15,Continente Shopping,Feminino,Calçados,2,1,4,7,Potencial
102895,155.0,1,5,Balneário Shopping,Masculino,Moda,4,1,1,6,Pontual
103018,69.9,1,5,Continente Shopping,Masculino,Moda,4,1,1,6,Pontual
103108,1425.0,3,15,Balneário Shopping,Feminino,Moda,2,5,5,12,Premium
103327,956.5,1,4,Balneário Shopping,Feminino,Moda,4,1,4,9,Potencial
103470,2088.12,1,4,Neumarkt Shopping,Masculino,Telefonia,4,1,5,10,Premium
103584,312.0,2,12,Balneário Shopping,Feminino,Moda,3,4,2,9,Potencial
103744,175.56,1,13,Continente Shopping,Feminino,Gastronomia,3,1,2,6,Pontual
104290,1716.08,4,12,Continente Shopping,Masculino,Calçados,3,5,5,13,VIP
104321,22.72,1,3,Neumarkt Shopping,Feminino,Gastronomia,5,1,1,7,Potencial
104735,77.5,1,5,Balneário Shopping,Feminino,Moda,4,1,1,6,Pontual
104787,202.0,1,2,Balneário Shopping,Feminino,Moda,5,1,1,7,Potencial
105198,159.5,1,17,Balneário Shopping,Feminino,Moda,2,1,1,4,Pontual
105203,1146.5,1,11,Balneário Shopping,Feminino,Moda,3,1,5,9,Potencial
105557,198.0,1,5,Balneário Shopping,Feminino,Moda,4,1,1,6,Pontual
106758,607.5,1,25,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
107107,586.4599999999999,3,29,Continente Shopping,Masculino,Moda,1,5,4,10,Premium
107452,878.25,4,12,Balneário Shopping,Masculino,Moda,3,5,4,12,Premium
107927,509.5,1,12,Balneário Shopping,Feminino,Moda,3,1,3,7,Potencial
