cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
139819,1246.0,2,17,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
139826,309.95,1,14,Nações Shopping,Feminino,Moda,4,3,2,9,Potencial
140003,538.5,1,7,Balneário Shopping,Feminino,Moda,5,3,3,11,Premium
140027,1389.5,2,17,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
140038,379.5,1,30,Balneário Shopping,Feminino,Moda,2,3,3,8,Potencial
140099,180.25,1,29,Balneário Shopping,Feminino,Moda,3,3,1,7,Potencial
140105,342.5,3,19,Balneário Shopping,Feminino,Moda,3,5,2,10,Premium
140106,1609.5,3,18,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
140236,298.0,2,20,Balneário Shopping,Feminino,Presentes e Acessórios,3,5,2,10,Premium
140256,239.9,1,29,Continente Shopping,Feminino,Calçados,3,3,2,8,Potencial
140258,999.0,1,29,Norte Shopping,Masculino,Telefonia,3,3,4,10,Premium
140268,409.97,1,29,Nações Shopping,Feminino,Moda Feminina,3,3,3,9,Potencial
140296,1999.0,1,29,Neumarkt Shopping,Feminino,Telefonia,3,3,5,11,Premium
140307,79.99,1,7,Neumarkt Shopping,Feminino,Esportes,5,3,1,9,Potencial
140412,817.0,2,29,Balneário Shopping,Masculino,Moda,3,5,4,12,Premium
140423,339.5,1,29,Balneário Shopping,Feminino,Moda,3,3,2,8,Potencial
140448,379.0,1,29,Balneário Shopping,Feminino,Moda,3,3,3,9,Potencial
140459,837.0,1,29,Balneário Shopping,Masculino,Moda,3,3,4,10,Premium
140503,1038.0,1,8,Balneário Shopping,Feminino,Moda,5,3,4,12,Premium
140515,564.0,2,15,Balneário Shopping,Feminino,Moda,4,5,3,12,Premium
140569,299.9,1,29,Continente Shopping,Masculino,Calçados,3,3,2,8,Potencial
140574,377.5,1,29,Balneário Shopping,Feminino,Moda,3,3,2,8,Potencial
140605,1773.75,2,26,Balneário Shopping,Feminino,Moda,3,5,5,13,VIP
140620,717.5,1,29,Balneário Shopping,Masculino,Moda,3,3,4,10,Premium
