cliente_id,valor_total,qtd_compras,genero,faixa_etaria,segmento_preferido,loja_preferida,ranking
190196,11622.57,13,Feminino,40-54 (Gen X),Moda,Tokaia,262
62545,11622.47,37,Feminino,40-54 (Gen X),Gastronomia,Farm,263
136565,11620.68,29,Feminino,40-54 (Gen X),Moda,Renner,264
53831,11562.64,213,Feminino,25-39 (Millennials),Gastronomia,Donna Mirô,265
33996,11536.34,7,Masculino,25-39 (Millennials),Gastronomia - Sorvetes,Milkymoo,266
355702,11516.33,59,Feminino,16-24 (Gen Z),Gastronomia,Las Leñas Parrilla Uruguaya,267
185939,11488.869999999999,4,Masculino,55-69 (Boomers),Moda,Empório Du Homem,268
139184,11487.39,60,Masculino,25-39 (Millennials),Moda,Natura,269
149221,11457.88,47,Masculino,40-54 (Gen X),Gastronomia,Calvin Klein e Tommy Hilfiger,270
297652,11456.68,8,Feminino,25-39 (Millennials),Moda,Live!,271
128028,11452.33,42,Masculino,25-39 (Millennials),Moda,Renner,272
281025,11397.119999999999,10,Feminino,40-54 (Gen X),Moda,Colcci,273
100531,11388.46,21,Masculino,55-69 (Boomers),Beleza e Bem-estar,Livraria Catarinense ,274
368618,11378.050000000001,13,Feminino,25-39 (Millennials),Gastronomia,Havaianas,275
117419,11363.35,14,Feminino,40-54 (Gen X),Moda,Colcci,276
125663,11323.93,45,Feminino,40-54 (Gen X),Moda,Renner,277
221684,11313.09,6,Feminino,25-39 (Millennials),Eletrônicos,Chope do Mestre,278
244979,11300.36,8,Feminino,40-54 (Gen X),Joalheria,Vivara,279
2185,11294.460000000001,36,Feminino,25-39 (Millennials),Gastronomia,Panvel Farmácias,280
367649,11283.0,3,Masculino,55-69 (Boomers),Eletrônicos,Samsung,281
85771,11264.15,18,Feminino,40-54 (Gen X),Joalheria,Vivara,282
310445,11257.98,5,Masculino,55-69 (Boomers),Beleza e Bem-estar,Fátima Criança,283
214190,11249.57,159,Feminino,40-54 (Gen X),Gastronomia,Cantinho Grill,284
140815,11245.16,69,Masculino,55-69 (Boomers),Gastronomia,JAH Açaí,285
134426,11212.68,56,Feminino,70+ (Silent),Moda,Renner,286
147883,11198.64,43,Feminino,25-39 (Millennials),Moda,Cobasi,287
170474,11186.87,23,Feminino,40-54 (Gen X),Moda,Uebel Make Up,288
125926,11169.62,101,Feminino,55-69 (Boomers),Gastronomia,Renner,289
118740,11168.66,89,Feminino,40-54 (Gen X),Gastronomia,JAH Açaí,290
151353,11146.289999999999,6,Masculino,16-24 (Gen Z),Joalheria,Riachuelo,291
224268,11119.64,30,Masculino,55-69 (Boomers),Calçados,World Tennis,292
187621,11102.85,4,Masculino,25-39 (Millennials),Moda,Empório Du Homem,293
53031,11095.35,57,Feminino,16-24 (Gen Z),Gastronomia,Santo Boteco,294
70595,11018.24,36,Masculino,25-39 (Millennials),Moda,Avatim,295
273875,10974.0,1,Masculino,40-54 (Gen X),Eletrônicos,Samsung,296
294735,10944.72,57,Feminino,25-39 (Millennials),Moda,C&A,297
167646,10936.289999999999,39,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,298
223851,10899.93,62,Feminino,40-54 (Gen X),Moda,Livraria Catarinense ,299
368334,10888.56,72,Feminino,40-54 (Gen X),Moda,Renner,300
220371,10861.46,33,Feminino,25-39 (Millennials),Gastronomia,Café Cultura,301
246207,10859.66,19,Feminino,40-54 (Gen X),Moda,Camarão Express,302
54940,10853.539999999999,4,Masculino,40-54 (Gen X),Moda,Empório Du Homem,303
91258,10821.57,26,Feminino,40-54 (Gen X),Moda,C&A,304
260402,10796.29,46,Feminino,25-39 (Millennials),Infantil,Centauro,305
237342,10787.23,48,Feminino,40-54 (Gen X),Moda,Renner,306
304911,10777.78,113,Feminino,25-39 (Millennials),Gastronomia,JAH Açaí,307
219406,10762.130000000001,2,Masculino,40-54 (Gen X),Eletrônicos,Reserva Nacoes Shopping,308
251220,10761.56,20,Masculino,25-39 (Millennials),Moda,Lança Perfume,309
4236,10744.12,29,Feminino,40-54 (Gen X),Moda,Renner,310
224951,10744.09,6,Masculino,16-24 (Gen Z),Moda,Cassol Centerlar,311
224448,10733.74,23,Feminino,40-54 (Gen X),Calçados,World Tennis,312
187490,10686.08,52,Feminino,40-54 (Gen X),Moda,Riachuelo,313
256952,10675.0,4,Feminino,40-54 (Gen X),Moda,Dudalina,314
227658,10658.52,45,Masculino,40-54 (Gen X),Gastronomia,Camarão Express,315
216910,10650.0,1,Masculino,25-39 (Millennials),Joalheria,Vivara,316
366064,10627.0,1,Masculino,25-39 (Millennials),Eletrônicos,Samsung,317
188284,10602.1,90,Feminino,25-39 (Millennials),Gastronomia,Ri Happy,318
304106,10602.0,1,Masculino,40-54 (Gen X),Joalheria,Vivara,319
165957,10571.35,45,Feminino,55-69 (Boomers),Moda,Renner,320
179217,10561.15,117,Feminino,16-24 (Gen Z),Gastronomia,Cantinho Grill,321
126975,10553.01,27,Feminino,25-39 (Millennials),Moda,Lupo,322
227157,10552.86,78,Feminino,40-54 (Gen X),Moda,Renner,323
225080,10510.1,7,Feminino,40-54 (Gen X),Moda,Colcci,324
22208,10495.92,165,Feminino,40-54 (Gen X),Gastronomia,Donna Mirô,325
116739,10488.35,29,Feminino,25-39 (Millennials),Moda,Riachuelo,326
287310,10425.0,3,Feminino,25-39 (Millennials),Joalheria,Vivara,327
249149,10421.28,46,Masculino,40-54 (Gen X),Gastronomia,Cobasi,328
122080,10411.1,71,Feminino,40-54 (Gen X),Moda,Café Cultura,329
259896,10347.09,3,Feminino,25-39 (Millennials),Joalheria,Vivara,330
133670,10308.58,34,Masculino,25-39 (Millennials),Gastronomia,Ri Happy,331
195110,10306.8,67,Masculino,25-39 (Millennials),Gastronomia,Café Cultura,332
60643,10300.57,85,Feminino,40-54 (Gen X),Moda,Livraria Catarinense ,333
372798,10300.0,1,Masculino,70+ (Silent),Joalheria,Vivara,334
147026,10274.5,43,Feminino,40-54 (Gen X),Moda,Renner,335
129573,10273.19,16,Feminino,40-54 (Gen X),Moda,Luz da Lua,336
232509,10222.72,31,Feminino,40-54 (Gen X),Moda,Békko,337
99589,10209.289999999999,26,Feminino,25-39 (Millennials),Calçados,Arezzo,338
232383,10205.76,11,Feminino,40-54 (Gen X),Beleza e Bem-estar,Farm,339
125022,10204.9,9,Feminino,55-69 (Boomers),Moda,Tokaia,340
